,Scar1,Scar2,cellCount1,cellCount2
52,361:50M7I18M,863:44M31S,96,9
53,194:48M3I24M,863:44M31S,13,9
54,28:44M9D31M,370:46M6I23M,99,45
55,757:30S45M,863:44M31S,11,9
56,1257:49M26S,13:46M6D29M,6,171
57,20:45M14D30M,46:46M2D29M,11,23
58,1039:51M24S,176:22S37M3D16M,38,20
59,104:27M22D48M,370:46M6I23M,26,45
60,1039:51M24S,432:39M2D5M1I30M,38,12
61,23:30M20D45M,32:75M,31,157
62,370:46M6I23M,432:39M2D5M1I30M,45,12
63,23:30M20D45M,370:46M6I23M,31,45
64,139:43M4D32M,13:46M6D29M,6,171
65,1380:46M29S,361:50M7I18M,6,96
66,14:44M3D31M,370:46M6I23M,16,45
67,370:46M6I23M,664:40M1I1M9D33M,45,40
68,1065:52M7I16M,11:43M7D32M,5,33
69,13:46M6D29M,65:45M5D30M,171,5
70,1092:53M22S,65:45M5D30M,22,5
71,1065:52M7I16M,13:46M6D29M,5,171
72,23:30M20D45M,664:40M1I1M9D33M,31,40
73,11:43M7D32M,65:45M5D30M,33,5
74,1220:49M26S,32:75M,6,157
75,35:43M21D32M,361:50M7I18M,36,96
76,13:46M6D29M,61:46M29S,171,4
77,1065:52M7I16M,1092:53M22S,5,22
78,104:27M22D48M,23:30M20D45M,26,31
79,1033:51M1I23M,61:46M29S,105,4
80,1039:51M24S,664:40M1I1M9D33M,38,40
81,1041:51M24S,6:47M3I25M,42,40
82,34:51M3I21M,65:45M5D30M,13,5
83,1607:23S52M,69:48M2I25M,13,5
84,14:44M3D31M,23:30M20D45M,16,31
85,103:29S46M,13:46M6D29M,5,171
86,1115:50M25S,46:46M2D29M,5,23
87,194:48M3I24M,737:50M8D25M,13,21
88,1380:46M29S,28:44M9D31M,6,99
89,262:45M2I28M,35:43M21D32M,17,36
90,22:49M2D26M,337:46M8D29M,11,22
91,361:50M7I18M,86:46M4D29M,96,2
92,139:43M4D32M,47:47M2D28M,6,4
93,23:30M20D45M,432:39M2D5M1I30M,31,12
94,103:29S46M,1092:53M22S,5,22
95,178:47M1I27M,44:44M3D31M,2,86
96,1466:44M31S,178:47M1I27M,53,2
97,1404:46M13I16M,89:75M,2,8
98,28:44M9D31M,709:50M4I21M,99,3
99,178:47M1I27M,97:49M9D26M,2,14
100,30:30M19D45M,44:44M3D31M,3,86
101,176:22S37M3D16M,23:30M20D45M,20,31
102,46:46M2D29M,60:30M1D45M,23,3
103,103:29S46M,11:43M7D32M,5,33
104,1369:46M29S,93:48M1D27M,2,2
105,1380:46M29S,2312:50M7I18M,6,1
106,1380:46M29S,234:75M,6,1
107,1380:46M29S,2772:54M21S,6,1
108,122:50M5I20M,2789:47M3D16M1I11M,2,1
109,1284:48M6I21M,1956:48M8D27M,19,1
110,1284:48M6I21M,2132:44M3D31M,19,1
111,1284:48M6I21M,236:39M8D36M,19,1
112,143:46M4I25M,78:46M11D29M,3,1
113,1380:46M29S,86:46M4D29M,6,2
114,1041:51M24S,1912:44M9D31M,42,1
115,1041:51M24S,2279:30M1I14M9D30M,42,1
116,1041:51M24S,3032:49M26S,42,1
117,1041:51M24S,3292:44M31S,42,1
118,104:27M22D48M,1885:47M6D28M,26,1
119,104:27M22D48M,1910:47M6D28M,26,1
120,104:27M22D48M,1975:47M6D28M,26,1
121,103:29S46M,1065:52M7I16M,5,5
122,1039:51M24S,1885:47M6D28M,38,1
123,1039:51M24S,1910:47M6D28M,38,1
124,1039:51M24S,1975:47M6D28M,38,1
125,1039:51M24S,3512:30M20D45M,38,1
126,1092:53M22S,2830:53M22S,22,1
127,1092:53M22S,3400:53M22S,22,1
128,1115:50M25S,60:30M1D45M,5,3
129,11:43M7D32M,2123:43M21D32M,33,1
130,11:43M7D32M,2830:53M22S,33,1
131,11:43M7D32M,3400:53M22S,33,1
132,863:44M31S,86:46M4D29M,9,2
133,2470:45M30S,737:50M8D25M,1,21
134,2780:50M7I18M,6:47M3I25M,1,40
135,3032:49M26S,6:47M3I25M,1,40
