,Scar1,Scar2,cellCount1,cellCount2
394,0,1233:49M9I17M,10000,3
395,0,22:49M2D26M,10000,11
396,0,30:30M19D45M,10000,3
397,0,46:46M2D29M,10000,24
398,0,1369:46M29S,10000,2
399,0,143:46M4I25M,10000,3
400,0,109:46M2D29M,10000,2
401,0,124:44M6D31M,10000,1
402,0,1071:54M21S,10000,1
403,0,1204:49M7I19M,10000,9
404,0,122:50M5I20M,10000,2
405,0,863:44M31S,10000,9
406,0,2742:47M6D28M,10000,1
407,0,2726:51M1I23M,10000,1
408,0,2780:50M7I18M,10000,1
409,0,2643:75M,10000,1
410,0,2279:30M1I14M9D30M,10000,1
411,0,3032:49M26S,10000,1
412,0,2991:49M26S,10000,1
413,0,2907:49M26S,10000,1
414,0,244:75M,10000,1
415,0,236:39M8D36M,10000,1
416,0,234:75M,10000,1
417,0,233:36M14D39M,10000,1
418,0,2470:45M30S,10000,1
419,0,2571:45M14D23M1D7M,10000,1
420,0,2535:54M21S,10000,1
421,0,2529:46M6D29M,10000,1
422,0,2490:51M1I23M,10000,1
423,0,2473:43M21D32M,10000,1
424,0,2472:43M21D32M,10000,1
425,0,304:47M6D28M,10000,1
426,0,38:43M6D32M,10000,2
427,0,373:42M1I5M3D27M,10000,1
428,0,432:39M2D5M1I30M,10000,12
429,0,518:46M3D29M,10000,1
430,0,3183:46M29S,10000,1
431,0,3217:57M18S,10000,1
432,0,3208:44M9D31M,10000,1
433,0,3572:26M1I21M3D27M,10000,1
434,0,3206:44M9D31M,10000,1
435,0,3190:46M6I23M,10000,1
436,0,3481:30M1D12M1I4M3D28M,10000,1
437,0,3427:46M8D29M,10000,1
438,0,3400:53M22S,10000,1
439,0,3353:42M6D9M12D24M,10000,1
440,0,1526:41M34S,10000,9
441,0,1879:47M3D28M,10000,1
442,0,1862:47M3D28M,10000,1
443,0,1845:47M3D28M,10000,1
444,0,1910:47M6D28M,10000,1
445,0,1820:47M3D28M,10000,1
446,0,1901:47M3D28M,10000,1
447,0,1967:46M3D29M,10000,1
448,0,1956:48M8D27M,10000,1
449,0,1682:75M,10000,1
450,0,1690:75M,10000,1
451,0,1688:43M4D32M,10000,1
452,0,1686:38M11D37M,10000,1
453,0,1664:48M8D27M,10000,1
454,0,1653:75M,10000,1
455,0,1718:46M3D29M,10000,1
456,0,1800:75M,10000,1
457,0,1773:46M11I18M,10000,1
458,0,1751:51M1I23M,10000,1
459,0,1749:47M3D28M,10000,1
460,0,1738:51M1D24M,10000,1
461,0,1973:45M14D30M,10000,1
462,0,1975:47M6D28M,10000,1
463,0,2150:75M,10000,1
464,0,2166:45M4D30M,10000,1
465,0,2103:43M21D32M,10000,1
466,0,21:47M3D28M,10000,1
467,0,2216:47M3D28M,10000,1
468,0,2232:30S45M,10000,1
469,0,2256:34S41M,10000,1
470,0,2255:37S38M,10000,1
471,0,2250:50M8D25M,10000,1
472,0,1981:38M11D37M,10000,1
473,0,2026:46M3D29M,10000,1
474,0,2012:38M11D37M,10000,1
475,0,2000:46M3D29M,10000,1
476,0,199:30M1D16M3D29M,10000,1
477,0,1997:47M6D28M,10000,1
478,0,1985:75M,10000,1
479,0,2027:75M,10000,1
480,0,2047:47M3D11M1D17M,10000,1
481,0,779:34S41M,10000,78
482,0,624:43M1I4M3D27M,10000,60
483,0,737:50M8D25M,10000,55
484,0,664:40M1I1M9D33M,10000,57
485,0,80:49M11D26M,10000,28
486,0,557:45M5D30M,10000,80
487,0,748:40S35M,10000,19
488,0,97:49M9D26M,10000,14
489,0,558:44M3D3M6I22M,10000,4
490,0,65:45M5D30M,10000,6
491,0,67:48M1I26M,10000,12
492,0,69:48M2I25M,10000,5
493,0,61:46M29S,10000,4
494,0,47:47M2D28M,10000,7
495,0,89:75M,10000,8
496,0,36:45M7D30M,10000,2
497,0,43:48M1D27M,10000,2
498,0,709:50M4I21M,10000,6
499,0,93:48M1D27M,10000,3
500,0,523:47M3D18M10S,10000,4
501,0,958:48M27S,10000,2
502,0,60:30M1D45M,10000,4
503,0,901:46M29S,10000,2
504,0,930:47M1I5M6I16M,10000,2
505,0,86:46M4D29M,10000,2
506,0,2253:45M1I12M17S,10000,1
507,0,2565:47M28S,10000,1
508,0,2819:63M12S,10000,1
509,0,3114:45M1I12M17S,10000,1
510,0,2312:50M7I18M,10000,1
511,0,2772:54M21S,10000,1
512,0,78:46M11D29M,10000,1
513,0,18:47M9D28M,10000,1
514,0,1719:75M,10000,1
515,0,1649:75M,10000,1
516,0,1885:47M6D28M,10000,1
517,0,1917:46M3D29M,10000,1
518,0,3292:44M31S,10000,1
519,0,19:75M,10000,3
520,0,2789:47M3D16M1I11M,10000,1
521,0,2830:53M22S,10000,1
522,0,2123:43M21D32M,10000,1
523,0,452:50M9I16M,10000,5
524,0,3512:30M20D45M,10000,1
525,0,2132:44M3D31M,10000,1
526,0,2774:54M21S,10000,1
527,0,3139:47M28S,10000,1
528,0,1735:75M,10000,1
529,0,3462:30M1D20M1I24M,10000,1
530,0,1912:44M9D31M,10000,1
531,0,1352:47M28S,10000,6
532,0,2401:38M11D29M1D8M,10000,1
533,0,3453:30M1D13M3D32M,10000,1
534,0,2582:62M13S,10000,1
535,0,3507:30M20D45M,10000,1
536,0,3407:36M14D39M,10000,1
537,0,54:47M5D28M,10000,9
538,0,42:46M3D29M,10000,5
539,0,2851:50M25S,10000,1
540,0,2178:75M,10000,1
541,0,24:31M18D44M,10000,4
542,0,2195:27M1I18M14D29M,10000,1
543,0,3028:49M26S,10000,1
544,0,3574:75M,10000,1
